;;;;;;Sentyment Analysis on Simple Random Prompt with Examples;;;;;;;;
;;;;;;;;;;;;;;
Seed 1;;;;;;;;;;;;;;
Help = 0;;;Help = 1;;;Help = 2;;;Help = 3;;;Help = 4;;
Accuracy;Wrong;No_Sentiment;Accuracy;Wrong;No_Sentiment;Accuracy;Wrong;No_Sentiment;Accuracy;Wrong;No_Sentiment;Accuracy;Wrong;No_Sentiment
76,70%;2,40%;20,90%;63,20%;4,00%;32,80%;47,10%;19,70%;33,20%;32,60%;32,20%;35,20%;31,60%;36,40%;32,00%
;;;62,70%;2,80%;34,50%;46,20%;19,80%;34,00%;33,80%;32,90%;33,30%;36,10%;33,10%;30,80%
;;;64,20%;3,30%;32,50%;45,20%;21,10%;33,70%;35,70%;30,30%;34,00%;32,20%;34,40%;33,40%
;;;62,90%;3,90%;33,20%;45,00%;21,80%;33,20%;34,80%;31,60%;33,60%;32,70%;34,40%;32,90%
;;;65,30%;3,50%;31,20%;45,60%;20,30%;34,10%;36,00%;29,40%;34,60%;29,30%;35,10%;35,60%
;;;66,10%;3,30%;30,59%;47,30%;19,30%;33,40%;33,30%;31,70%;35,00%;33,90%;33,20%;32,90%
;;;64,07%;3,47%;32,47%;46,07%;20,33%;33,60%;34,37%;31,35%;34,28%;32,63%;34,43%;32,93%
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Seed 2;;;;;;;;;;;;;;
Help = 0;;;Help = 1;;;Help = 2;;;Help = 3;;;Help = 4;;
Accuracy;Wrong;No_Sentiment;Accuracy;Wrong;No_Sentiment;Accuracy;Wrong;No_Sentiment;Accuracy;Wrong;No_Sentiment;Accuracy;Wrong;No_Sentiment
78%;1,50%;21,00%;63,90%;4,00%;32,10%;45,60%;21,10%;33,30%;34,70%;32,70%;32,60%;35,80%;31,20%;33,00%
;;;64,60%;4,00%;31,40%;48,10%;20,50%;31,40%;35,70%;34,10%;30,20%;31,40%;30,90%;37,70%
;;;61,50%;3,60%;34,90%;49,10%;18,90%;32,00%;33,90%;30,70%;35,40%;31,60%;32,10%;36,30%
;;;68,80%;2,90%;28,30%;45,00%;19,20%;35,80%;36,50%;31,40%;32,10%;32,90%;32,90%;34,20%
;;;66,30%;3,30%;30,40%;45,40%;20,50%;34,10%;31,90%;32,00%;36,10%;34,70%;31,40%;33,90%
;;;62,90%;4,70%;32,40%;46,60%;18,90%;34,50%;35,60%;28,50%;35,90%;34,30%;33,50%;32,20%
;;;64,67%;3,75%;31,58%;46,63%;19,85%;33,52%;34,72%;31,57%;33,72%;33,45%;32,00%;34,55%
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Results;;;;;;;;;;;;;;
Help = 0;;;Help = 1;;;Help = 2;;;Help = 3;;;Help = 4;;
Accuracy;Wrong;No_Sentiment;Accuracy;Wrong;No_Sentiment;Accuracy;Wrong;No_Sentiment;Accuracy;Wrong;No_Sentiment;Accuracy;Wrong;No_Sentiment
77,10%;1,95%;20,95%;64,37%;3,61%;32,02%;46,35%;20,09%;33,56%;34,54%;31,46%;34,00%;33,04%;33,22%;33,74%
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
Help;Accuracy;Wrong;No_Sentiment;;;;;;;;;;;
Help = 0;77,10%;1,95%;20,95%;;;;;;;;;;;
Help = 1;64,37%;3,61%;32,02%;;;;;;;;;;;
Help = 2;46,35%;20,09%;33,56%;;;;;;;;;;;
Help = 3;34,54%;31,46%;34,00%;;;;;;;;;;;
Help = 4;33,04%;33,22%;33,74%;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;SYSTEM PROMPT;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
PROMPT 1;;;;;;;;;;;;;;
Help = 0;;;Help = 1;;;Help = 2;;;Help = 3;;;Help = 4;;
Accuracy;Wrong;No_Sentiment;Accuracy;Wrong;No_Sentiment;Accuracy;Wrong;No_Sentiment;Accuracy;Wrong;No_Sentiment;Accuracy;Wrong;No_Sentiment
96,60%;3,40%;0,00%;86,30%;13,70%;0,00%;60,80%;39,20%;0,00%;49,70%;50,30%;0,00%;50,40%;49,60%;0,00%
;;;87,20%;12,80%;0,00%;62,30%;37,70%;0,00%;49,30%;50,70%;0,00%;51,20%;48,80%;0,00%
